store_id,raw_address,state,zip_code,query,matched_address,latitude,longitude,geocode_status
8867,7915 FLORENCE AVENUE DOWNEY,California,90240,"7915 FLORENCE AVENUE DOWNEY, CALIFORNIA 90240","7915 FLORENCE AVE, DOWNEY, CA, 90240",33.954324747984,-118.131381815961,ok
3033,110 E STETSON AVE HEMET,California,92543,"110 E STETSON AVE HEMET, CALIFORNIA 92543","110 E STETSON AVE, HEMET, CA, 92543",33.729465660638,-116.971365895963,ok
9121,4404 EL CAJON BLVD SAN DIEGO,California,92115,"4404 EL CAJON BLVD SAN DIEGO, CALIFORNIA 92115","4404 EL CAJON BLVD, SAN DIEGO, CA, 92115",32.755129527031,-117.099825735491,ok
10931,1745 S. IMPERIAL AVE. EL CENTRO,California,92243,"1745 S. IMPERIAL AVE. EL CENTRO, CALIFORNIA 92243","1745 S IMPERIAL AVE, EL CENTRO, CA, 92243",32.777858077106,-115.569511236783,ok
8859,16 3RD AVENUE EXT. CHULA VISTA,California,91910,"16 3RD AVENUE EXT. CHULA VISTA, CALIFORNIA 91910","16 3RD AVE, CHULA VISTA, CA, 91910",32.650012119419,-117.085013475782,ok
9115,645 SATURN BLVD SAN DIEGO,California,92154,"645 SATURN BLVD SAN DIEGO, CALIFORNIA 92154","645 SATURN BLVD, SAN DIEGO, CA, 92154",32.584656732303,-117.09260103808,ok
9138,1201 E. PLAZA BLVD NATIONAL CITY,California,91950,"1201 E. PLAZA BLVD NATIONAL CITY, CALIFORNIA 91950","1201 E PLAZA BLVD, NATIONAL CITY, CA, 91950",32.677269635888,-117.09403203434,ok
9193,1380 43RD ST. SAN DIEGO,California,92113,"1380 43RD ST. SAN DIEGO, CALIFORNIA 92113","1380 S 43RD ST, SAN DIEGO, CA, 92113",32.692131027842,-117.102470380731,ok
9524,3350 PALM AVE. SAN DIEGO,California,92154,"3350 PALM AVE. SAN DIEGO, CALIFORNIA 92154","3350 PALM AVE, SAN DIEGO, CA, 92154",32.583808748423,-117.061194309186,ok
9783,1730 SWEETWATER RD NATIONAL CITY,California,91950,"1730 SWEETWATER RD NATIONAL CITY, CALIFORNIA 91950","1730 SWEETWATER RD, NATIONAL CITY, CA, 91950",32.661536588375,-117.081246454111,ok
7127,1302 WEST MISSION RD. SAN MARCOS,California,92069,"1302 WEST MISSION RD. SAN MARCOS, CALIFORNIA 92069","1302 W MISSION RD, SAN MARCOS, CA, 92069",33.148453775082,-117.18897558058,ok
8857,1441 N SANTA FE VISTA,California,92084,"1441 N SANTA FE VISTA, CALIFORNIA 92084","1441 N SANTA FE AVE, VISTA, CA, 92084",33.220052250095,-117.244804312592,ok
9104,2427 E. VALLEY PKWY ESCONDIDO,California,92027,"2427 E. VALLEY PKWY ESCONDIDO, CALIFORNIA 92027","2427 E VALLEY PKWY, ESCONDIDO, CA, 92027",33.141769370175,-117.042427582015,ok
9108,1655 S. CENTRE CITY PKWY. ESCONDIDO,California,92025,"1655 S. CENTRE CITY PKWY. ESCONDIDO, CALIFORNIA 92025","1655 S CENTRE CITY PKWY, ESCONDIDO, CA, 92025",33.104047880193,-117.076159804551,ok
9574,883 S. SANTA FE AVENUE VISTA,California,92083,"883 S. SANTA FE AVENUE VISTA, CALIFORNIA 92083","883 S SANTA FE AVE, VISTA, CA, 92083",33.193971852724,-117.234681177293,ok
9619,9840 SIERRA AVE. FONTANA,California,92335,"9840 SIERRA AVE. FONTANA, CALIFORNIA 92335","9840 SIERRA AVE, FONTANA, CA, 92335",34.075060645318,-117.435751621792,ok
9664,1564 W. BASE LINE ST. SAN BERNARDINO,California,92411,"1564 W. BASE LINE ST. SAN BERNARDINO, CALIFORNIA 92411","1564 W BASE LINE ST, SAN BERNARDINO, CA, 92411",34.121410379703,-117.320548981144,ok
9794,5200 N UNIVERSITY PARKWAY SAN BERNARDINO,California,92407,"5200 N UNIVERSITY PARKWAY SAN BERNARDINO, CALIFORNIA 92407","5200 UNIVERSITY PKWY, SAN BERNARDINO, CA, 92407",34.176349180708,-117.331013376034,ok
8897,3361 MARKET ST. RIVERSIDE,California,92501,"3361 MARKET ST. RIVERSIDE, CALIFORNIA 92501","3361 MARKET ST, RIVERSIDE, CA, 92501",33.986840591437,-117.372882863011,ok
9728,1322 W. 6TH ST. CORONA,California,92882,"1322 W. 6TH ST. CORONA, CALIFORNIA 92882","1322 W 6TH ST, CORONA, CA, 92882",33.87782750802,-117.589438944628,ok
